age(kyr) mean(permil) sigma(permil)
76.500000 3.985501 0.129855
76.600000 3.997303 0.129134
76.700000 4.009667 0.128278
76.800000 4.022785 0.127320
76.900000 4.036353 0.126248
77.000000 4.049739 0.124979
77.100000 4.062982 0.123551
77.200000 4.075096 0.121887
77.300000 4.086026 0.120109
77.400000 4.095917 0.118334
77.500000 4.104578 0.116715
77.600000 4.111747 0.115250
77.700000 4.117745 0.113827
77.800000 4.122134 0.112581
77.900000 4.125460 0.111465
78.000000 4.127405 0.110555
78.100000 4.128102 0.109864
78.200000 4.127883 0.109330
78.300000 4.126784 0.109015
78.400000 4.124703 0.108910
78.500000 4.121461 0.109107
78.600000 4.116999 0.109577
78.700000 4.111979 0.110217
78.800000 4.106258 0.111099
78.900000 4.100070 0.112076
79.000000 4.093746 0.113109
79.100000 4.087489 0.114296
79.200000 4.081277 0.115449
79.300000 4.074831 0.116598
79.400000 4.068213 0.117689
79.500000 4.061605 0.118720
79.600000 4.055050 0.119773
79.700000 4.048516 0.120798
79.800000 4.042331 0.121833
79.900000 4.036470 0.122789
80.000000 4.030755 0.123712
80.100000 4.025045 0.124553
80.200000 4.019470 0.125321
80.300000 4.013985 0.125971
80.400000 4.008659 0.126485
80.500000 4.003577 0.127019
80.600000 3.998518 0.127540
80.700000 3.993589 0.128026
80.800000 3.988985 0.128571
80.900000 3.984290 0.129109
81.000000 3.979370 0.129595
81.100000 3.974495 0.130106
81.200000 3.969514 0.130495
81.300000 3.964134 0.130833
81.400000 3.958688 0.131097
81.500000 3.953338 0.131324
81.600000 3.948118 0.131392
81.700000 3.942715 0.131444
81.800000 3.937119 0.131553
81.900000 3.931547 0.131543
82.000000 3.925474 0.131557
82.100000 3.918896 0.131565
82.200000 3.912199 0.131456
82.300000 3.905308 0.131301
82.400000 3.898140 0.131138
82.500000 3.891038 0.131012
82.600000 3.883886 0.130902
82.700000 3.876654 0.130806
82.800000 3.869381 0.130713
82.900000 3.862053 0.130666
83.000000 3.854665 0.130767
83.100000 3.847300 0.130943
83.200000 3.840020 0.131134
83.300000 3.832878 0.131400
83.400000 3.825702 0.131613
83.500000 3.818598 0.131774
83.600000 3.811316 0.132006
83.700000 3.803895 0.132210
83.800000 3.796370 0.132528
83.900000 3.788810 0.132865
84.000000 3.780893 0.133274
84.100000 3.772482 0.133683
84.200000 3.763715 0.134076
84.300000 3.754612 0.134440
84.400000 3.745003 0.134699
84.500000 3.734820 0.134848
84.600000 3.724681 0.134848
84.700000 3.714575 0.134656
84.800000 3.704398 0.134262
84.900000 3.694812 0.133646
85.000000 3.686568 0.132780
85.100000 3.680192 0.131790
85.200000 3.675805 0.130819
85.300000 3.674200 0.129941
85.400000 3.675168 0.129187
85.500000 3.679341 0.128424
85.600000 3.686387 0.127975
85.700000 3.696035 0.127820
85.800000 3.708555 0.127807
85.900000 3.723145 0.127861
86.000000 3.740345 0.127936
86.100000 3.759848 0.128121
86.200000 3.780440 0.128577
86.300000 3.802476 0.129100
86.400000 3.825632 0.129508
86.500000 3.849188 0.129894
86.600000 3.872861 0.130086
86.700000 3.896118 0.130104
86.800000 3.918606 0.130153
86.900000 3.940242 0.130303
87.000000 3.960598 0.130561
87.100000 3.980030 0.130930
87.200000 3.998834 0.131435
87.300000 4.016964 0.132162
